2102138,thompju02,Justin,Thompson,L,25,1998,11,15,34,34,0,227,100,946,20,79,149,4,4,2,0,114,222,SP
2110916,ballaje01,Jeff,Ballard,L,26,1989,18,8,35,35,0,240,82,912,16,57,62,5,3,4,0,95,215.3333282,SP
3010004,jonessh01,Sheldon,Jones,R,27,1949,15,12,42,27,0,198,77,902,19,88,79,0,4,10,0,93,207.3333282,SP
5839510,weilabo01,Bob,Weiland,L,33,1938,16,11,35,29,1,248,91,990,14,67,117,0,1,4,0,118,228.3333282,SP
4093688,barrji01,Jim,Barr,R,31,1979,10,12,36,25,0,217,92,826,22,55,69,5,2,3,1,100,197,SP
3021634,adamste01,Terry,Adams,R,29,2002,7,9,46,19,0,132,66,590,9,58,96,5,8,3,0,76,136.6666718,SP
4857600,powerte01,Ted,Power,R,32,1987,10,13,34,34,0,213,102,887,28,71,133,7,3,3,2,115,204,SP
2116522,hawkian01,Andy,Hawkins,R,26,1986,10,8,37,35,0,218,100,905,24,75,117,7,6,5,2,111,209.3333282,SP
1018596,boyercl01,Cloyd,Boyer,R,25,1952,6,6,23,14,0,108,52,476,11,47,44,0,1,4,0,56,110.3333359,SP
5843072,rapppa01,Pat,Rapp,R,34,2001,5,12,31,28,0,169,90,731,20,71,82,2,4,2,0,96,170,SP
3529324,helliri01,Rick,Helling,R,29,1999,13,11,35,35,0,228,118,943,41,85,131,5,8,6,0,127,219.3333282,SP
1034462,pichahi01,Hipolito,Pichardo,R,24,1993,7,8,30,25,0,183,74,720,10,53,70,2,5,6,3,85,165,SP
3019040,colliri01,Rip,Collins,R,29,1925,6,11,26,20,0,149,71,610,7,52,33,0,4,6,0,86,140,SP
9995738,marreco01,Connie,Marrero,R,40,1951,11,9,25,25,0,198,81,819,8,71,66,0,2,3,2,87,187,SP
1641108,reganph01,Phil,Regan,R,27,1964,5,10,32,21,1,162,82,642,21,49,91,4,4,5,0,87,146.6666718,SP
5830754,grissle01,Lee,Grissom,L,34,1941,2,13,29,18,0,120,58,574,4,70,74,0,8,2,0,69,131.3333282,SP
2549404,fernaos01,Osvaldo,Fernandez,R,28,1996,7,13,30,28,0,193,88,760,20,57,106,4,6,10,2,95,171.6666718,SP
4872358,rogerke01,Kenny,Rogers,L,32,1996,12,8,30,30,0,179,93,786,16,83,92,2,5,8,0,97,179,SP
2112516,nolesdi01,Dickie,Noles,R,29,1985,4,8,28,13,1,129,62,488,11,33,59,1,1,6,0,67,110.3333359,SP
3529210,francra01,Ray,Francis,L,29,1922,7,18,39,26,2,265,107,983,7,66,64,0,7,6,0,136,225,SP
4842786,grosske01,Kevin,Gross,R,32,1993,13,13,33,32,0,224,93,892,15,74,150,7,2,5,5,110,202.3333282,SP
3524660,colemjo05,Joe,Coleman,R,27,1974,14,12,41,41,0,272,137,1262,30,158,177,13,13,12,0,160,285.6666565,SP
1040656,hennebr01,Brad,Hennessey,R,25,2005,5,8,21,21,0,127,61,521,15,52,64,3,3,4,1,63,118.3333359,SP
3011390,seleaa01,Aaron,Sele,R,28,1998,19,11,33,33,0,239,100,954,14,84,167,6,4,13,0,116,212.6666718,SP
1034764,burbabi01,Bill,Burbach,R,22,1969,6,8,31,24,0,112,57,624,15,102,82,1,9,2,0,68,140.6666718,SP
3028296,stoneli01,Lil,Stoner,R,28,1927,10,13,38,24,5,251,95,946,9,77,63,0,6,3,1,118,215,SP
1649392,mckaiar01,Archie,McKain,L,26,1937,8,8,36,18,2,152,71,630,7,64,66,0,1,0,0,84,137,SP
1649888,krakajo01,Joe,Krakauskas,L,24,1939,11,17,39,29,1,230,111,966,13,114,110,0,5,1,1,125,217.3333282,SP
1028670,koniedo01,Doug,Konieczny,R,24,1975,6,13,32,29,0,184,85,762,15,87,89,1,6,1,2,93,171,SP
3532148,zambrvi01,Victor,Zambrano,R,29,2004,9,7,23,22,0,107,63,588,13,96,109,2,5,16,0,68,128,SP
1651844,bithohi01,Hi,Bithorn,R,26,1942,9,14,38,16,2,191,70,744,8,81,65,0,2,0,0,93,171.3333282,SP
4874464,davisdo02,Doug,Davis,L,32,2007,13,12,33,33,0,211,91,862,21,95,144,7,10,5,1,100,192.6666718,SP
1012546,reichda01,Dan,Reichert,R,25,2001,8,8,27,19,0,131,77,554,14,67,77,2,12,8,0,83,123,SP
2554710,jimenub01,Ubaldo,Jimenez,R,28,2012,9,17,31,31,0,190,106,805,25,95,143,3,16,8,1,116,176.6666718,SP
1640322,lamabja01,Jack,Lamabe,R,28,1964,9,13,39,25,1,235,116,811,25,57,109,5,5,2,0,123,177.3333282,SP
1023370,milleju01,Justin,Miller,R,25,2002,9,5,25,18,0,103,63,469,12,66,68,2,6,11,0,70,102.3333359,SP
7566106,morrija02,Jack,Morris,R,38,1993,7,12,27,27,0,189,105,702,18,65,103,2,14,3,1,116,152.6666718,SP
